,device,device_type,model_name,model_category,batch_size,num_inference_steps,precision,model_parameters,inference_time,device_to_host_time,host_to_device_time,avg_time,cpu_count,cpu_utilization,cpu_memory_used,cpu_memory_available
0,cpu,cpu,efficientnet_b0,efficientnet,16.0,1024.0,float32,5288548.0,0.021975,0.0,0.0,0.3516,128.0,0.8,4162.6640625,250392.37109375
1,cpu,cpu,efficientnet_b0,efficientnet,16.0,512.0,float32,5288548.0,0.0218875,0.0,0.0,0.3503,128.0,0.8,4169.77734375,250397.00390625
2,cpu,cpu,efficientnet_b0,efficientnet,32.0,512.0,float32,5288548.0,0.025309375,0.0,0.0,0.8099,128.0,0.8,5257.7578125,248420.25390625
3,cpu,cpu,efficientnet_b0,efficientnet,64.0,512.0,float32,5288548.0,0.0259859375,0.0,0.0,1.6632,128.0,0.8,5300.71484375,248382.04296875
4,cpu,cpu,efficientnet_b0,efficientnet,16.0,1024.0,float64,5288548.0,0.08696875,0.0,0.0,1.3915,128.0,0.8,4245.1953125,250311.9921875
5,cpu,cpu,efficientnet_b0,efficientnet,16.0,512.0,float64,5288548.0,0.0869625,0.0,0.0,1.3914,128.0,0.8,4252.44921875,250304.8046875
6,cpu,cpu,efficientnet_b0,efficientnet,32.0,512.0,float64,5288548.0,0.0887375,0.0,0.0,2.8396,128.0,0.8,5299.37109375,248365.421875
7,cpu,cpu,efficientnet_b0,efficientnet,64.0,512.0,float64,5288548.0,0.0903109375,0.0,0.0,5.7799,128.0,0.8,5334.8984375,248371.09765625
8,cpu,cpu,efficientnet_b1,efficientnet,16.0,1024.0,float32,7794184.0,0.03160625,0.0,0.0,0.5057,128.0,0.8,4176.46484375,250356.4453125
9,cpu,cpu,efficientnet_b1,efficientnet,16.0,512.0,float32,7794184.0,0.031475,0.0,0.0,0.5037,128.0,0.8,4177.83203125,250364.40625
10,cpu,cpu,efficientnet_b1,efficientnet,32.0,512.0,float32,7794184.0,0.03523125,0.0,0.0,1.1275,128.0,0.8,5285.69140625,248405.2890625
11,cpu,cpu,efficientnet_b1,efficientnet,64.0,512.0,float32,7794184.0,0.0374640625,0.0,0.0,2.3978,128.0,0.8,5328.921875,248366.28125
12,cpu,cpu,efficientnet_b1,efficientnet,16.0,1024.0,float64,7794184.0,0.12000625,0.0,0.0,1.9201,128.0,0.8,4286.02734375,250274.74609375
13,cpu,cpu,efficientnet_b1,efficientnet,16.0,512.0,float64,7794184.0,0.120575,0.0,0.0,1.9292,128.0,0.8,4305.8203125,250254.94140625
14,cpu,cpu,efficientnet_b1,efficientnet,32.0,512.0,float64,7794184.0,0.12348125,0.0,0.0,3.9514,128.0,0.8,5329.55078125,248365.60546875
15,cpu,cpu,efficientnet_b1,efficientnet,64.0,512.0,float64,7794184.0,0.1263453125,0.0,0.0,8.0862,128.0,0.8,5413.9140625,248279.41796875
16,cpu,cpu,efficientnet_b2,efficientnet,16.0,1024.0,float32,9109994.0,0.0342,0.0,0.0,0.5472,128.0,0.8,4190.11328125,250353.09765625
17,cpu,cpu,efficientnet_b2,efficientnet,16.0,512.0,float32,9109994.0,0.032575,0.0,0.0,0.5213,128.0,0.8,4314.00390625,250229.26953125
