,device,device_type,model_name,model_category,batch_size,num_inference_steps,precision,model_parameters,inference_time,device_to_host_time,host_to_device_time,avg_time,communication_time,gpu_utilization,gpu_mem_used,gpu_mem_total,gpu_temp,gpu_power,gpu_count,cuda_version,cudnn_version,cuda_device_name,max_gpu_mem_allocated,max_gpu_mem_reserved
0,cuda,cuda,efficientnet_b0,efficientnet,16.0,1024.0,bfloat16,5288548.0,0.0004625,6.25e-05,0.0,0.0084,6.25e-05,4.0,736.3333,40960.0,26.6667,35.2567,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",407.27,742.0
1,cuda,cuda,efficientnet_b0,efficientnet,16.0,512.0,bfloat16,5288548.0,0.00053125,6.25e-05,0.0,0.0095,6.25e-05,5.3333,736.3333,40960.0,26.3333,35.2167,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",407.27,742.0
2,cuda,cuda,efficientnet_b0,efficientnet,32.0,1024.0,bfloat16,5288548.0,0.000228125,5.9375e-05,0.000128125,0.0133,0.0001875,3.0,736.3333,40960.0,26.6667,40.7133,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",407.27,742.0
3,cuda,cuda,efficientnet_b0,efficientnet,32.0,512.0,bfloat16,5288548.0,0.000228125,5.9375e-05,0.00013125,0.0134,0.00019062499999999998,4.3333,736.3333,40960.0,26.6667,35.22,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",407.27,742.0
4,cuda,cuda,efficientnet_b0,efficientnet,64.0,1024.0,bfloat16,5288548.0,0.0001140625,6.09375e-05,0.0001921875,0.0235,0.000253125,4.0,736.3333,40960.0,26.6667,48.1167,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",407.27,742.0
5,cuda,cuda,efficientnet_b0,efficientnet,64.0,512.0,bfloat16,5288548.0,0.000115625,6.09375e-05,0.000190625,0.0235,0.0002515625,4.0,736.3333,40960.0,26.6667,35.18,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",407.27,742.0
6,cuda,cuda,efficientnet_b0,efficientnet,16.0,1024.0,float16,5288548.0,0.00046875,6.25e-05,0.0,0.0086,6.25e-05,2.3333,595.0,40960.0,26.3333,35.4167,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",207.11,318.0
7,cuda,cuda,efficientnet_b0,efficientnet,16.0,512.0,float16,5288548.0,0.00659375,6.25e-05,6.25e-06,0.1066,6.875e-05,2.3333,595.0,40960.0,26.3333,34.9933,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",207.11,318.0
8,cuda,cuda,efficientnet_b0,efficientnet,32.0,1024.0,float16,5288548.0,0.0002375,5.9375e-05,4.375e-05,0.0108,0.000103125,1.6667,595.0,40960.0,26.3333,42.5533,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",266.83,318.0
9,cuda,cuda,efficientnet_b0,efficientnet,32.0,512.0,float16,5288548.0,0.00024375,5.9375e-05,4.375e-05,0.0111,0.000103125,1.6667,595.0,40960.0,26.3333,35.2167,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",266.83,318.0
10,cuda,cuda,efficientnet_b0,efficientnet,64.0,1024.0,float16,5288548.0,0.0001203125,6.09375e-05,0.0001078125,0.0185,0.00016875,3.0,736.3333,40960.0,26.3333,35.2767,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",407.27,742.0
